first_name,last_name,email,phone,address,age,gender,parental_status,birthdate,date_of_last_visit,visits_last_12_months,membership_type,member
Melissa,Stewart,m.stewart@gmail.com,555-760-2233,"901 Violet Ave, Columbia, MD 21044",34,Female,Parent,1990-12-04,2024-12-04,58,Fit & Play,yes
Douglas,Santana,d.santana@yahoo.com,555-861-3344,"1234 Zinnia St, Columbia, MD 21045",49,Male,Parent,1975-05-21,2024-11-24,40,Golf & Play,yes
Sharon,Fleming,s.fleming@hotmail.com,555-962-4455,"567 Bluebell Rd, Columbia, MD 21046",44,Female,Parent,1980-10-13,2024-12-02,50,Golf & Play,yes
Matthew,Pearson,m.pearson@outlook.com,555-163-5566,"890 Dandelion Way, Columbia, MD 21044",56,Male,Parent,1968-06-29,2024-11-19,36,Golf,yes
Carolyn,Dixon,c.dixon@gmail.com,555-264-6677,"123 Chrysanthemum Ct, Columbia, MD 21045",40,Female,Parent,1984-01-16,2024-12-05,52,Fit & Play,yes
Gary,Espinoza,g.espinoza@email.com,555-365-7788,"456 Gardenia Blvd, Columbia, MD 21046",33,Male,Parent,1991-08-08,2024-11-30,54,Fit & Play,yes
Kimberly,Boyd,k.boyd@yahoo.com,555-466-8899,"789 Hibiscus Ln, Columbia, MD 21044",46,Female,Parent,1978-03-25,2024-12-03,44,Golf & Play,yes
Donald,Gutierrez,d.gutierrez@gmail.com,555-567-9900,"1012 Iris Ave, Crofton, MD 21114",62,Male,Non-Parent,1962-11-11,2024-11-12,26,Golf,yes
Janet,Chambers,j.chambers@hotmail.com,555-668-0011,"345 Snapdragon Dr, Columbia, MD 21045",50,Female,Parent,1974-06-07,2024-12-01,42,Golf,yes
Jerry,Ramos,j.ramos@outlook.com,555-769-1122,"678 Clover Way, Columbia, MD 21046",37,Male,Parent,1987-09-20,2024-11-28,48,Fit & Play,yes
Deborah,Hartley,d.hartley@gmail.com,555-870-2233,"901 Pansy Ct, Columbia, MD 21044",43,Female,Parent,1981-04-02,2024-12-04,46,Golf & Play,yes
Raymond,Kaplan,r.kaplan@email.com,555-971-3344,"1234 Daffodil St, Columbia, MD 21045",54,Male,Parent,1970-12-18,2024-11-21,38,Golf,yes
Alice,Crawford,a.crawford@yahoo.com,555-172-4455,"567 Orchid Rd, Columbia, MD 21046",30,Female,Parent,1994-07-31,2024-12-05,62,Play,yes
Randy,Hubbard,r.hubbard@gmail.com,555-273-5566,"890 Carnation Ave, Severna Park, MD 21146",58,Male,Non-Parent,1966-02-14,2024-11-16,30,Golf,yes
Martha,Barnes,m.barnes@hotmail.com,555-374-6677,"123 Aster Way, Columbia, MD 21044",41,Female,Parent,1983-10-26,2024-12-02,50,Fit & Play,yes
Larry,Park,l.park@outlook.com,555-475-7788,"456 Petunia Blvd, Columbia, MD 21045",48,Male,Parent,1976-05-08,2024-11-25,44,Golf & Play,yes
Debra,Newman,d.newman@gmail.com,555-576-8899,"789 Geranium Ln, Columbia, MD 21046",35,Female,Parent,1989-01-15,2024-12-03,56,Fit & Play,yes
Henry,Valdez,h.valdez@yahoo.com,555-677-9900,"1012 Buttercup Ct, Columbia, MD 21044",52,Male,Parent,1972-08-23,2024-11-22,40,Golf & Play,yes
Marie,Hicks,m.hicks@email.com,555-778-0011,"345 Freesia Dr, Columbia, MD 21045",45,Female,Parent,1979-03-10,2024-12-01,48,Golf & Play,yes
Carl,Jimenez,c.jimenez@gmail.com,555-879-1122,"678 Anemone Way, Baltimore, MD 21201",61,Male,Non-Parent,1963-11-04,2024-11-14,28,Golf,yes
Ruth,Mckenzie,r.mckenzie@hotmail.com,555-980-2233,"901 Begonia Ave, Columbia, MD 21046",39,Female,Parent,1985-06-18,2024-12-04,54,Fit & Play,yes
Eugene,Dunn,e.dunn@outlook.com,555-181-3344,"1234 Foxglove St, Columbia, MD 21044",46,Male,Parent,1978-01-27,2024-11-27,42,Golf & Play,yes
Dorothy,Lawson,d.lawson@yahoo.com,555-282-4455,"567 Delphinium Rd, Columbia, MD 21045",55,Female,Parent,1969-09-12,2024-12-02,38,Golf,yes
Wayne,Silva,w.silva@gmail.com,555-383-5566,"890 Camellia Blvd, Columbia, MD 21046",33,Male,Parent,1991-04-05,2024-11-30,58,Fit & Play,yes
Gloria,Fletcher,g.fletcher@email.com,555-484-6677,"123 Lantana Way, Columbia, MD 21044",49,Female,Parent,1975-12-21,2024-12-05,44,Golf & Play,yes
Roger,Medina,r.medina@hotmail.com,555-585-7788,"456 Verbena Ct, Columbia, MD 21045",57,Male,Parent,1967-07-09,2024-11-19,36,Golf,yes
Judith,Schneider,j.schneider@gmail.com,555-686-8899,"789 Sweet Pea Ln, Columbia, MD 21046",42,Female,Parent,1982-02-16,2024-12-03,50,Fit & Play,yes
Arthur,Benson,a.benson@yahoo.com,555-787-9900,"1012 Primrose Ave, Rockville, MD 20850",65,Male,Non-Parent,1959-10-28,2024-11-11,20,Golf,yes
Janice,Perry,j.perry@outlook.com,555-888-0011,"345 Dahlia Dr, Columbia, MD 21044",36,Female,Parent,1988-05-14,2024-12-01,56,Fit & Play,yes
Roy,Castillo,r.castillo@gmail.com,555-989-1122,"678 Lilac Way, Columbia, MD 21045",44,Male,Parent,1980-08-03,2024-11-26,46,Golf & Play,yes
Andrea,Santos,a.santos@email.com,555-190-2233,"901 Hollyhock St, Columbia, MD 21046",31,Female,Parent,1993-01-19,2024-12-04,60,Play,yes
Philip,Tran,p.tran@hotmail.com,555-291-3344,"1234 Morning Glory Rd, Columbia, MD 21044",53,Male,Parent,1971-06-25,2024-11-23,38,Golf,yes
Virginia,Stone,v.stone@yahoo.com,555-392-4455,"567 Zinnia Blvd, Columbia, MD 21045",47,Female,Parent,1977-11-07,2024-12-02,46,Golf & Play,yes
Jack,Mendez,j.mendez@gmail.com,555-493-5566,"890 Larkspur Ct, Bowie, MD 20720",59,Male,Non-Parent,1965-03-22,2024-11-17,32,Golf,yes
Kathleen,Burke,k.burke@outlook.com,555-594-6677,"123 Yarrow Ave, Columbia, MD 21046",40,Female,Parent,1984-08-09,2024-12-05,52,Fit & Play,yes
Alan,Hammond,a.hammond@email.com,555-695-7788,"456 Cosmos Way, Columbia, MD 21044",35,Male,Parent,1989-12-01,2024-11-30,50,Fit & Play,yes
Diane,Fox,d.fox@gmail.com,555-796-8899,"789 Heather Ln, Columbia, MD 21045",48,Female,Parent,1976-04-17,2024-12-03,44,Golf & Play,yes
Russell,Weaver,r.weaver@yahoo.com,555-897-9900,"1012 Clarkia Dr, Columbia, MD 21046",56,Male,Parent,1968-09-06,2024-11-20,34,Golf,yes
Marilyn,Hansen,m.hansen@hotmail.com,555-998-0011,"345 Amaranth Blvd, Columbia, MD 21044",43,Female,Parent,1981-02-28,2024-12-01,48,Golf & Play,yes
Jose,Reed,j.reed@outlook.com,555-199-1122,"678 Liatris St, Columbia, MD 21045",37,Male,Parent,1987-07-13,2024-11-28,54,Fit & Play,yes
Cheryl,Payne,c.payne@gmail.com,555-300-2233,"901 Salvia Way, Annapolis, MD 21401",51,Female,Non-Parent,1973-10-05,2024-12-04,36,Golf,yes
Harold,Delgado,h.delgado@email.com,555-401-3344,"1234 Columbine Ave, Columbia, MD 21046",45,Male,Parent,1979-05-19,2024-11-25,42,Golf & Play,yes
Joyce,Walters,j.walters@yahoo.com,555-502-4455,"567 Bellflower Rd, Columbia, MD 21044",38,Female,Parent,1986-12-23,2024-12-02,56,Fit & Play,yes
Gerald,Cross,g.cross@gmail.com,555-603-5566,"890 Coneflower Ct, Frederick, MD 21701",63,Male,Non-Parent,1961-03-08,2024-11-13,24,Golf,yes
Kelly,Owens,k.owens@hotmail.com,555-704-6677,"123 Tickseed Ln, Columbia, MD 21045",34,Female,Parent,1990-08-16,2024-12-05,58,Fit & Play,yes
Lawrence,Pope,l.pope@outlook.com,555-805-7788,"456 Cornflower Blvd, Columbia, MD 21046",50,Male,Parent,1974-01-30,2024-11-22,40,Golf & Play,yes
Ann,Powers,a.powers@gmail.com,555-906-8899,"789 Edelweiss Way, Columbia, MD 21044",46,Female,Parent,1978-06-12,2024-12-03,46,Golf & Play,yes
Terry,Keller,t.keller@email.com,555-107-9900,"1012 Bluebonnet Dr, Towson, MD 21204",58,Male,Non-Parent,1966-11-24,2024-11-18,30,Golf,yes
Kathryn,Schultz,k.schultz@yahoo.com,555-208-0011,"345 Coreopsis Ave, Columbia, MD 21045",41,Female,Parent,1983-04-07,2024-12-01,50,Fit & Play,yes
Albert,Herrera,a.herrera@gmail.com,555-309-1122,"678 Lupine St, Columbia, MD 21046",36,Male,Parent,1988-09-15,2024-11-29,52,Fit & Play,yes
Frances,Warren,f.warren@hotmail.com,555-410-2233,"901 Phlox Way, Columbia, MD 21044",54,Female,Parent,1970-02-01,2024-12-04,40,Golf,yes
Jonathan,Graves,j.graves@outlook.com,555-511-3344,"1234 Trillium Rd, Columbia, MD 21045",47,Male,Parent,1977-07-20,2024-11-24,44,Golf & Play,yes
Sara,Ray,s.ray@gmail.com,555-612-4455,"567 Hellebore Blvd, Columbia, MD 21046",30,Female,Parent,1994-12-08,2024-12-05,64,Play,yes
Ralph,Soto,r.soto@yahoo.com,555-713-5566,"890 Ranunculus Ct, Columbia, MD 21044",55,Male,Parent,1969-05-26,2024-11-20,36,Golf,yes
Evelyn,Alexander,e.alexander@email.com,555-814-6677,"123 Scabiosa Ln, Columbia, MD 21045",42,Female,Parent,1982-10-18,2024-12-02,48,Golf & Play,yes
Patrick,Sharp,p.sharp@gmail.com,555-915-7788,"456 Astilbe Ave, Columbia, MD 21046",39,Male,Parent,1985-03-04,2024-11-27,50,Fit & Play,yes
Irene,Holland,i.holland@hotmail.com,555-116-8899,"789 Hosta Way, Columbia, MD 21044",48,Female,Parent,1976-08-22,2024-12-03,44,Golf & Play,yes
Walter,Floyd,w.floyd@outlook.com,555-217-9900,"1012 Fern Dr, Silver Spring, MD 20901",61,Male,Non-Parent,1963-01-14,2024-11-15,28,Golf,yes
Shirley,Dean,s.dean@gmail.com,555-318-0011,"345 Sedum Blvd, Columbia, MD 21045",37,Female,Parent,1987-06-30,2024-12-01,54,Fit & Play,yes
Willie,Gregory,w.gregory@yahoo.com,555-419-1122,"678 Agapanthus St, Columbia, MD 21046",43,Male,Parent,1981-11-09,2024-11-26,46,Golf & Play,yes
Lillian,Shaw,l.shaw@email.com,555-520-2233,"901 Monarda Way, Columbia, MD 21044",33,Female,Parent,1991-04-17,2024-12-04,60,Play,yes
Bruce,Palmer,b.palmer@gmail.com,555-621-3344,"1234 Echinacea Rd, Columbia, MD 21045",52,Male,Parent,1972-09-25,2024-11-21,38,Golf,yes
Lori,Ward,l.ward@hotmail.com,555-722-4455,"567 Rudbeckia Ct, Columbia, MD 21046",45,Female,Parent,1979-02-11,2024-12-02,46,Golf & Play,yes
Louis,Russell,l.russell@outlook.com,555-823-5566,"890 Gaillardia Ave, Gaithersburg, MD 20877",57,Male,Non-Parent,1967-07-03,2024-11-17,32,Golf,yes
Joan,Peterson,j.peterson@gmail.com,555-924-6677,"123 Pentas Ln, Columbia, MD 21044",40,Female,Parent,1984-12-19,2024-12-05,52,Fit & Play,yes
Harry,Hayes,h.hayes@yahoo.com,555-125-7788,"456 Dianthus Blvd, Columbia, MD 21045",34,Male,Parent,1990-05-06,2024-11-30,54,Fit & Play,yes
Tammy,Ellis,t.ellis@email.com,555-226-8899,"789 Nemesia Way, Columbia, MD 21046",49,Female,Parent,1975-10-14,2024-12-03,44,Golf & Play,yes
Fred,Gordon,f.gordon@gmail.com,555-327-9900,"1012 Celosia Dr, Columbia, MD 21044",59,Male,Parent,1965-03-28,2024-11-19,34,Golf,yes
Emily,Tucker,e.tucker@hotmail.com,555-428-0011,"345 Calibrachoa Ave, Columbia, MD 21045",28,Female,Parent,1996-08-05,2024-12-01,68,Play,yes
Norman,Hart,n.hart@outlook.com,555-529-1122,"678 Osteospermum St, Columbia, MD 21046",44,Male,Parent,1980-01-23,2024-11-25,42,Golf & Play,yes
Phyllis,Webb,p.webb@yahoo.com,555-630-2233,"901 Torenia Way, Columbia, MD 21044",53,Female,Parent,1971-06-10,2024-12-04,40,Golf,yes
Benjamin,Lane,b.lane@gmail.com,555-731-3344,"1234 Impatiens Rd, Columbia, MD 21045",37,Male,Parent,1987-11-27,2024-11-28,50,Fit & Play,yes
Rose,Cole,r.cole@email.com,555-832-4455,"567 Lobelia Blvd, Columbia, MD 21046",46,Female,Parent,1978-04-15,2024-12-02,46,Golf & Play,yes
Edwin,Murray,e.murray@hotmail.com,555-933-5566,"890 Alyssum Ct, Pikesville, MD 21208",62,Male,Non-Parent,1962-09-02,2024-11-12,26,Golf,yes
Anne,Sims,a.sims@gmail.com,555-134-6677,"123 Lantana Ln, Columbia, MD 21044",35,Female,Parent,1989-02-18,2024-12-05,56,Fit & Play,yes
Vincent,Riley,v.riley@outlook.com,555-235-7788,"456 Bacopa Ave, Columbia, MD 21045",41,Male,Parent,1983-07-04,2024-11-27,48,Fit & Play,yes
Tina,Long,t.long@yahoo.com,555-336-8899,"789 Mandevilla Way, Columbia, MD 21046",50,Female,Parent,1974-12-22,2024-12-03,42,Golf & Play,yes
Clarence,Simmons,c.simmons@gmail.com,555-437-9900,"1012 Portulaca Dr, Columbia, MD 21044",56,Male,Parent,1968-05-10,2024-11-20,36,Golf,yes
Jean,Butler,j.butler@email.com,555-538-0011,"345 Gazania Blvd, Columbia, MD 21045",39,Female,Parent,1985-10-28,2024-12-01,52,Fit & Play,yes
Howard,Foster,h.foster@hotmail.com,555-639-1122,"678 Gerbera St, Columbia, MD 21046",47,Male,Parent,1977-03-16,2024-11-24,44,Golf & Play,yes
